FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,FEN_After_First_Move,Evaluation,white_material,black_material,white_pieces,black_pieces
4r1k1/pp3ppp/8/3p4/3b1PP1/5Q1P/PP2r3/R1B4K w - - 1 27,a2a4 e2e1 h1h2 e8e2 h2g3 e1g1,2141,79,89,880,crushing endgame exposedKing long,https://lichess.org/8apDtCFN#53,4r1k1/pp3ppp/8/3p4/P2b1PP1/5Q1P/1P2r3/R1B4K b - - 0 27,-199,22,19,9,10
4r3/ppR5/3P2pk/3N2p1/2Bb2n1/1P5P/P5P1/1R4K1 w - - 1 32,g1f1 g4h2,1323,75,93,2283,mate mateIn1 middlegame oneMove,https://lichess.org/oYX1AYgS#63,4r3/ppR5/3P2pk/3N2p1/2Bb2n1/1P5P/P5P1/1R3K2 b - - 2 32,-1,21,15,10,8
6rk/3b1p1p/3ppPpQ/4b3/2PpP3/6N1/p1q2RPP/R5K1 b - - 1 30,d4d3 f2c2 e5a1 c2a2,1967,75,91,263,advantage middlegame short,https://lichess.org/bixpmM0h/black#60,6rk/3b1p1p/3ppPpQ/4b3/2P1P3/3p2N1/p1q2RPP/R5K1 w - - 0 31,382,27,27,10,12
4rrk1/6p1/p4p1p/1pNbp3/3P1q2/1PP4Q/P4PPP/2R1R1K1 w - - 0 25,c5d7 d5e6 h3e6 e8e6,1554,80,87,43,advantage middlegame short,https://lichess.org/JcHdgJq3#49,4rrk1/3N2p1/p4p1p/1p1bp3/3P1q2/1PP4Q/P4PPP/2R1R1K1 b - - 1 25,-389,29,28,12,11
8/pb2r2k/2n4p/1p3pp1/2p5/1PP2B2/P4PPP/R1BQq1K1 w - - 1 26,d1e1 e7e1,621,90,68,141,backRankMate mate mateIn1 middlegame oneMove,https://lichess.org/8dHk2FIP#51,8/pb2r2k/2n4p/1p3pp1/2p5/1PP2B2/P4PPP/R1B1Q1K1 b - - 0 26,-1,26,17,11,10
5rk1/pp6/3pp1pp/8/3pPn2/3P2NQ/PPP2qPP/R6K w - - 6 24,h3h6 f2g2,866,78,98,415,endgame kingsideAttack mate mateIn1 oneMove,https://lichess.org/0w83rcBK#47,5rk1/pp6/3pp1pQ/8/3pPn2/3P2N1/PPP2qPP/R6K b - - 0 24,-1,24,23,11,10
3r4/1b4k1/p4q1p/1p1P1pp1/8/2P2Q2/2B2PPP/3R2K1 b - - 3 33,d8d5 d1d5 b7d5 f3d5,1024,94,94,973,advantage endgame short,https://lichess.org/KERAcTOS/black#66,8/1b4k1/p4q1p/1p1r1pp1/8/2P2Q2/2B2PPP/3R2K1 w - - 0 34,360,21,22,8,9
8/6p1/3p2kp/3P4/4P1P1/2b4P/2K5/8 b - - 0 49,g6f6 c2c3 f6e5 c3d3,1150,75,96,4793,crushing defensiveMove endgame hangingPiece short,https://lichess.org/89B5Xu0C/black#98,8/6p1/3p1k1p/3P4/4P1P1/2b4P/2K5/8 w - - 1 50,397,4,6,5,5
8/3k3p/4p1p1/3p1p2/8/1PrP4/P4PPP/3R2K1 w - - 0 27,d1d2 c3c1 d2d1 c1d1,599,87,63,58,backRankMate endgame mate mateIn2 rookEndgame short,https://lichess.org/FMa9tKuZ#53,8/3k3p/4p1p1/3p1p2/8/1PrP4/P2R1PPP/6K1 b - - 1 27,-2,11,10,8,7
r4rk1/ppp1q1p1/3nP3/3P3p/6n1/1BN2R2/PP4PK/R1BQ4 w - - 1 20,h2g1 e7h4 c1f4 f8f4,1589,75,72,442,advantage middlegame quietMove short,https://lichess.org/EbsAYvuj#39,r4rk1/ppp1q1p1/3nP3/3P3p/6n1/1BN2R2/PP4P1/R1BQ2K1 b - - 2 20,-299,33,30,12,11
8/p7/5k1K/6pP/6P1/b4P2/3p4/3B4 w - - 0 47,f3f4 a3f8 h6h7 g5f4,1764,75,93,1874,bishopEndgame crushing endgame short,https://lichess.org/aaOq0IDz#93,8/p7/5k1K/6pP/5PP1/b7/3p4/3B4 b - - 0 47,-387,6,6,5,5
7k/6pp/5p2/3p1Q1P/4r3/8/1pqN4/1R5K b - - 0 45,c2d2 f5c8 e4e8 c8e8,992,91,82,93,backRankMate endgame mate mateIn2 short,https://lichess.org/hCneSJTk/black#90,7k/6pp/5p2/3p1Q1P/4r3/8/1p1q4/1R5K w - - 0 46,2,15,19,4,8
rBb1qrk1/pp2bppp/4p3/8/2B5/1QP5/PP3PPP/3RK1NR b K - 0 11,a8b8 c4b5 e8d8 d1d8,1319,74,93,4891,advantage master middlegame short trappedPiece,https://lichess.org/tPwwtaKz/black#22,1rb1qrk1/pp2bppp/4p3/8/2B5/1QP5/PP3PPP/3RK1NR w K - 0 12,409,31,31,12,12
8/1k6/pp6/1PPp4/3P4/4K3/8/8 w - - 0 44,c5c6 b7c7 e3d2 a6b5,1150,84,73,166,crushing defensiveMove endgame pawnEndgame short,https://lichess.org/eBliuLZl#87,8/1k6/ppP5/1P1p4/3P4/4K3/8/8 b - - 0 44,-205,3,3,4,4
r5k1/3N1pp1/4p3/2P4p/8/4Q3/5Pq1/3RK3 w - - 2 38,d7e5 a8a2 d1d8 g8h7 d8d2 a2a1 e1e2 g2f1,2429,79,84,42,crushing endgame veryLong,https://lichess.org/MDy2x9hm#75,r5k1/5pp1/4p3/2P1N2p/8/4Q3/5Pq1/3RK3 b - - 3 38,-425,19,18,6,7
r1b3k1/pp3pp1/8/2ppr1PQ/4pq2/2P5/PP2BP2/R3K1R1 b Q - 0 21,c8f5 g1h1 f7f6 h5h8 g8f7 h8a8,2075,74,86,118,advantage long middlegame quietMove skewer,https://lichess.org/kTFfnxGi/black#42,r5k1/pp3pp1/8/2pprbPQ/4pq2/2P5/PP2BP2/R3K1R1 w Q - 1 22,158,27,29,10,12
5rk1/1p3ppp/5q2/4b3/Q4P2/6P1/PP3rBP/R1B4K w - - 0 24,f4e5 f2f1 g2f1 f6f1,1044,101,73,37,mate mateIn2 middlegame sacrifice short,https://lichess.org/Y9aE56bH#47,5rk1/1p3ppp/5q2/4P3/Q7/6P1/PP3rBP/R1B4K b - - 0 24,-2,25,23,10,8
1r1r3k/1R1b2p1/4pn1p/p6q/3p1P2/P2B2Q1/1P4PP/4BR1K w - - 1 27,e1a5 h5a5 b7b8 d8b8,2086,76,91,3136,crushing hangingPiece middlegame short,https://lichess.org/AvvGBwcc#53,1r1r3k/1R1b2p1/4pn1p/B6q/3p1P2/P2B2Q1/1P4PP/5R1K b - - 0 27,-405,30,29,11,10
r2b3k/1p3p1p/5p1B/p2qn3/3pR1Q1/1N4P1/PPP2P1P/5RK1 b - - 0 26,e5g4 e4e8,598,88,100,37,mate mateIn1 middlegame oneMove,https://lichess.org/bl25B7TK/black#52,r2b3k/1p3p1p/5p1B/p2q4/3pR1n1/1N4P1/PPP2P1P/5RK1 w - - 0 27,1,22,26,11,11
5rk1/5ppp/R7/3N4/1P1bP3/3P2KP/1r4P1/3R4 w - - 3 28,a6d6 d4e5 g3f3 e5d6,1247,76,95,13906,crushing endgame fork short,https://lichess.org/zlHdb50j#55,5rk1/5ppp/3R4/3N4/1P1bP3/3P2KP/1r4P1/3R4 b - - 4 28,-480,18,16,9,7
3rr1k1/pp2np1p/1q4p1/2n5/6P1/1P2Q2P/P3NPB1/R2R2K1 b - - 4 22,b6c7 d1d8 e8d8 a1c1 b7b6 b3b4,1562,76,90,930,crushing long middlegame,https://lichess.org/cWnbAENZ/black#44,3rr1k1/ppq1np1p/6p1/2n5/6P1/1P2Q2P/P3NPB1/R2R2K1 w - - 5 23,428,30,30,11,11
2q2rk1/3b2b1/pr1p1np1/2pPp1Bp/2P1P3/2N3QP/1P2B1P1/R4RK1 b - - 4 22,b6b2 g5f6,1204,80,83,171,advantage middlegame oneMove,https://lichess.org/NlVzU5eI/black#44,2q2rk1/3b2b1/p2p1np1/2pPp1Bp/2P1P3/2N3QP/1r2B1P1/R4RK1 w - - 0 23,294,33,34,12,13
1nr5/6k1/1R3p2/p2p4/2bP4/2P5/2B2KPP/8 b - - 3 31,b8d7 b6b7 c8b8 b7d7,1441,500,100,0,endgame equality pin short,https://lichess.org/uhSGnkyN/black#62,2r5/3n2k1/1R3p2/p2p4/2bP4/2P5/2B2KPP/8 w - - 4 32,78,12,14,7,7
3r3k/6pp/4Qp2/1Pq5/P7/1P1r1n2/5PPP/R1R3K1 w - - 3 34,g1h1 c5c1 a1c1 d3d1,1504,75,96,26897,crushing middlegame sacrifice short,https://lichess.org/7USOuzpx#67,3r3k/6pp/4Qp2/1Pq5/P7/1P1r1n2/5PPP/R1R4K b - - 4 34,-599,25,25,10,8
2r5/5p1p/p2q1kr1/3p4/Q3P3/5N2/P4PPP/3R2K1 b - - 0 30,d6f4 e4e5 f6g7 a4f4,1874,75,92,2415,crushing discoveredAttack endgame short,https://lichess.org/zAQWTw5A/black#60,2r5/5p1p/p4kr1/3p4/Q3Pq2/5N2/P4PPP/3R2K1 w - - 1 31,727,22,23,9,8
r2qkb1r/1ppb1ppp/p2p4/3Nn3/2B1P3/2Q5/PPP2PPP/R1B1K2R w KQkq - 6 11,d5c7 d8c7 c4f7 e8d8 c1g5 d8c8,1993,77,74,72,advantage long opening,https://lichess.org/zQJubHWe#21,r2qkb1r/1pNb1ppp/p2p4/4n3/2B1P3/2Q5/PPP2PPP/R1B1K2R b KQkq - 0 11,-268,35,34,14,13
r2r4/2kb2pp/2pRp3/2N1p3/1p6/8/5PPP/3R2K1 w - - 0 24,d6d7 d8d7 d1d7 c7b6,966,79,68,79,crushing endgame short,https://lichess.org/reW4PGwg#47,r2r4/2kR2pp/2p1p3/2N1p3/1p6/8/5PPP/3R2K1 b - - 0 24,-291,16,16,7,9
2r5/7R/1k1p4/2pB4/Pp2P3/1P2P1r1/6P1/6K1 b - - 2 48,c8c7 a4a5 b6a5 h7c7,1413,78,80,393,crushing deflection endgame short,https://lichess.org/H0tfXv3t/black#96,8/2r4R/1k1p4/2pB4/Pp2P3/1P2P1r1/6P1/6K1 w - - 3 49,483,13,13,8,6
rq4k1/5pp1/p3pb2/1p2P3/5B2/P4Q2/1P3PPP/3R2K1 b - - 0 23,f6e5 f4e5 b8e5 f3a8,1274,75,81,254,crushing endgame short,https://lichess.org/Ow998g4Q/black#46,rq4k1/5pp1/p3p3/1p2b3/5B2/P4Q2/1P3PPP/3R2K1 w - - 0 24,549,22,22,9,9
5bk1/6p1/P6p/2p4q/4pp2/NP4PP/1BPQnP1K/8 w - - 0 35,a6a7 f4g3 f2g3 h5f3 d2e1 f8d6 a7a8q g8h7 a8e4 f3e4,2363,83,87,505,crushing endgame veryLong,https://lichess.org/02p1Lqqw#69,5bk1/P5p1/7p/2p4q/4pp2/NP4PP/1BPQnP1K/8 b - - 0 35,0,21,20,10,9
8/8/6p1/1p1K4/5k2/8/1PP5/8 w - - 1 42,b2b3 b5b4 d5d4 g6g5,2315,81,86,169,crushing defensiveMove endgame pawnEndgame quietMove short,https://lichess.org/L0rAT3zM#83,8/8/6p1/1p1K4/5k2/1P6/2P5/8 b - - 0 42,-436,2,2,3,3
8/p5pp/P5p1/8/2pnk3/6P1/5P1P/1R3K2 w - - 2 35,b1b4 c4c3 f1e1 e4d3 b4b8 c3c2,2342,78,90,1587,advancedPawn crushing endgame long,https://lichess.org/XTVsooCx#69,8/p5pp/P5p1/8/1Rpnk3/6P1/5P1P/5K2 b - - 3 35,-361,9,8,6,7
2rqkb1r/p2np3/3p2p1/3Q2Nn/1PP1P3/5P2/P6P/RN2K2R b KQk - 2 16,h5f4 d5f7,710,108,94,272,mate mateIn1 middlegame oneMove,https://lichess.org/iBjuNflc/black#32,2rqkb1r/p2np3/3p2p1/3Q2N1/1PP1Pn2/5P2/P6P/RN2K2R w KQk - 3 17,1,31,32,12,11
7b/p3Np2/3p1Ppk/2p1p3/2P1Pn2/5R2/Pr5K/R6N w - - 1 30,h2g3 b2g2 g3h4 h8f6,1291,75,100,232,mate mateIn2 middlegame short,https://lichess.org/rIgZ8Pud#59,7b/p3Np2/3p1Ppk/2p1p3/2P1Pn2/5RK1/Pr6/R6N b - - 2 30,-2,20,17,9,10
5R2/2k5/2p2P2/8/2P1K3/3P4/8/r7 w - - 3 51,f8e8 a1e1 e4f5 e1e8 f6f7 e8d8,2340,104,85,45,crushing endgame long rookEndgame skewer,https://lichess.org/1tWgYUCW#101,4R3/2k5/2p2P2/8/2P1K3/3P4/8/r7 b - - 4 51,-324,8,6,5,3
r2q1rk1/ppp1bppp/4p3/n2pPb2/2nP1B2/P1N4P/BPPNQPP1/R3K2R b KQ - 1 13,f5c2 d2c4 d5c4 e2c2,1491,74,95,27472,advantage discoveredAttack middlegame short,https://lichess.org/JwSJwoqc/black#26,r2q1rk1/ppp1bppp/4p3/n2pP3/2nP1B2/P1N4P/BPbNQPP1/R3K2R w KQ - 0 14,357,38,39,15,16
r1b2rk1/pp1n1ppp/4p3/2P1n3/QP1N1B1q/3B4/P4PP1/RN3RK1 w - - 5 16,f4g3 h4d4 d3h7 g8h7,1438,75,89,2197,advantage fork hangingPiece opening short,https://lichess.org/NFVEjeGt#31,r1b2rk1/pp1n1ppp/4p3/2P1n3/QP1N3q/3B2B1/P4PP1/RN3RK1 b - - 6 16,-302,36,34,13,13
3R4/8/p5r1/2P3p1/P7/1K2pk1P/8/8 w - - 0 39,d8d6 e3e2 d6g6 e2e1q,1956,75,93,1594,advancedPawn crushing endgame promotion rookEndgame short,https://lichess.org/k3JFE0ab#77,8/8/p2R2r1/2P3p1/P7/1K2pk1P/8/8 b - - 1 39,-324,8,8,5,5
2kr4/pp3r1p/3pbppQ/q1p1p3/2NnP2P/2NP4/PPP2PP1/R4RK1 b - - 8 15,a5b4 a2a3 b4c4 d3c4,1483,75,94,13194,advantage middlegame short trappedPiece,https://lichess.org/NvTeW8DA/black#30,2kr4/pp3r1p/3pbppQ/2p1p3/1qNnP2P/2NP4/PPP2PP1/R4RK1 w - - 9 16,461,33,33,14,14
8/8/4kp2/2pPp1p1/1p4P1/1P1PK3/r1P1RP2/8 b - - 0 40,e6d5 c2c4 b4c3 e2a2,1070,84,85,773,crushing discoveredAttack endgame rookEndgame short,https://lichess.org/Ecn7TQaC/black#80,8/8/5p2/2pkp1p1/1p4P1/1P1PK3/r1P1RP2/8 w - - 0 41,605,10,10,7,7
1k2r2r/1pp3pp/p1n5/3Qp3/8/2q2PB1/P1P2P1P/1R3RK1 b - - 3 20,c3c2 f1c1 c2g6 d5c6 g6c6 c1c6,2346,81,81,148,advantage long middlegame pin,https://lichess.org/kY5pwVa7/black#40,1k2r2r/1pp3pp/p1n5/3Qp3/8/5PB1/P1q2P1P/1R3RK1 w - - 0 21,361,26,28,9,11
r1b2rk1/pp3pp1/2p1p2p/4P2Q/5B2/2Pq4/PP3PPP/R3R1K1 w - - 0 16,f4h6 d3h7 e1e3 h7h6,2547,84,92,1355,advantage master middlegame short,https://lichess.org/MOL4InuO#31,r1b2rk1/pp3pp1/2p1p2B/4P2Q/8/2Pq4/PP3PPP/R3R1K1 b - - 0 16,-239,29,28,12,11
8/p1p5/2p1kr1p/8/4P2R/1P1PKp2/P1P5/8 w - - 2 36,h4f4 f6f4 e3f4 f3f2,1178,76,83,104,advancedPawn crushing endgame rookEndgame short,https://lichess.org/sVnFvech#71,8/p1p5/2p1kr1p/8/4PR2/1P1PKp2/P1P5/8 b - - 3 36,-660,10,10,7,7
r4rk1/1p3ppp/p2p4/4n3/4b3/P3BN2/1PP2PPP/R3K2R w KQ - 0 16,e1c1 e5f3 g2f3 e4f3,1361,74,92,2437,crushing middlegame short,https://lichess.org/wkXmpizS#31,r4rk1/1p3ppp/p2p4/4n3/4b3/P3BN2/1PP2PPP/2KR3R b - - 1 16,-383,22,22,11,11
rnbqk2r/ppp2ppp/3b4/3np3/2B5/3P1N1P/PPP2PP1/RNBQK2R b KQkq - 0 6,b8c6 c4d5 d6b4 c2c3 d8d5 c3b4,1218,77,92,4280,advantage hangingPiece long opening,https://lichess.org/qFVhXuQT/black#12,r1bqk2r/ppp2ppp/2nb4/3np3/2B5/3P1N1P/PPP2PP1/RNBQK2R w KQkq - 1 7,350,38,38,15,15
r5k1/4pp1p/3p2p1/2pPn1N1/P3P3/2q1B1Q1/1rn2PPP/2RR2K1 b - - 9 26,a8a4 g3h3 h7h5 h3c8 g8g7 c8e8,2415,86,79,428,advantage long middlegame,https://lichess.org/kshiyx7i/black#52,6k1/4pp1p/3p2p1/2pPn1N1/r3P3/2q1B1Q1/1rn2PPP/2RR2K1 w - - 0 27,0,30,31,11,12
8/5R2/5p2/p1r1pP2/4Pk1p/3K1Pb1/6B1/8 b - - 0 50,c5c6 f7g7 c6c3 d3c3,1589,89,79,23,crushing endgame short,https://lichess.org/iqw4DQBf/black#100,8/5R2/2r2p2/p3pP2/4Pk1p/3K1Pb1/6B1/8 w - - 1 51,340,11,12,6,7
4r1k1/5p2/2p3r1/3p3q/P5p1/1PQ2PR1/2P2K1P/3R4 w - - 0 33,f3g4 h5h2 g3g2 e8e2 f2e2 h2g2,2236,78,83,44,attraction crushing deflection endgame exposedKing long,https://lichess.org/gbtu8MNC#65,4r1k1/5p2/2p3r1/3p3q/P5P1/1PQ3R1/2P2K1P/3R4 b - - 0 33,-498,24,22,9,7
8/5pk1/p7/1p1pPp2/5K1r/2P2RP1/PP6/3Qb1q1 w - - 2 35,g3h4 g1g4 f4e3 g4e4,1690,79,95,16464,endgame mate mateIn2 short,https://lichess.org/nEb85W23#69,8/5pk1/p7/1p1pPp2/5K1P/2P2R2/PP6/3Qb1q1 b - - 0 35,-2,19,17,8,8
r2qr3/pp3kp1/2n1Rb2/2p2p2/5P1P/2PP2P1/PP1BQ3/4R1K1 b - - 6 20,d8d7 e2h5 g7g6 h5h7,1520,76,100,582,advantage middlegame short,https://lichess.org/hnj49vhu/black#40,r3r3/pp1q1kp1/2n1Rb2/2p2p2/5P1P/2PP2P1/PP1BQ3/4R1K1 w - - 7 21,294,29,30,12,11
2kr1b1r/1p6/2p1qN2/3pP3/3P3n/1Q5p/1n5K/2RB1R2 b - - 1 35,b2c4 d1g4 e6g4 f6g4,1299,77,97,1786,advantage middlegame pin short,https://lichess.org/V39GCjGV/black#70,2kr1b1r/1p6/2p1qN2/3pP3/2nP3n/1Q5p/7K/2RB1R2 w - - 2 36,284,27,32,8,11
6k1/6p1/8/P2p4/1P1P1P1r/2P1pb2/R3N3/5K2 w - - 1 43,a5a6 h4h1 e2g1 e3e2 a2e2 f3e2 f1e2 h1g1,1221,75,99,1345,advancedPawn crushing endgame exposedKing pin veryLong,https://lichess.org/FHsg6RcQ#85,6k1/6p1/P7/3p4/1P1P1P1r/2P1pb2/R3N3/5K2 b - - 0 43,-236,13,11,8,6
r1bqkbnr/1p3ppp/p2pp3/3P4/2Q1P3/N7/2P2PPP/R1B1K1NR b KQkq - 0 10,b7b5 a3b5 a6b5 c4c6 c8d7 c6a8,2162,75,87,849,crushing fork long middlegame sacrifice,https://lichess.org/BQiBubob/black#20,r1bqkbnr/5ppp/p2pp3/1p1P4/2Q1P3/N7/2P2PPP/R1B1K1NR w KQkq - 0 11,298,34,35,13,14
2r2r1k/ppp3p1/4Q2p/2b2pq1/8/3B1PP1/PP3PK1/R3R3 b - - 0 25,f5f4 e1e5 g5f6 e6f6 f8f6 e5c5,1922,75,76,52,crushing long middlegame,https://lichess.org/mPKVeh08/black#50,2r2r1k/ppp3p1/4Q2p/2b3q1/5p2/3B1PP1/PP3PK1/R3R3 w - - 0 26,409,27,28,10,11
4rr1k/6pp/Q7/1pp5/3p3q/P2P4/1PP1RPPP/R5K1 w - - 3 25,a1e1 h4f2 e2f2 e8e1 f2f1 e1f1,1585,74,94,799,deflection endgame kingsideAttack long mate mateIn3 sacrifice,https://lichess.org/QrIT4O9c#49,4rr1k/6pp/Q7/1pp5/3p3q/P2P4/1PP1RPPP/4R1K1 b - - 4 25,-3,26,24,11,9
r4k2/pp2b1r1/3PQp1p/8/8/2q5/P4RPP/4R1K1 b - - 0 26,e7d6 f2f6 c3f6 e6f6,1636,83,82,38,crushing middlegame short,https://lichess.org/XzUPEhkg/black#52,r4k2/pp4r1/3bQp1p/8/8/2q5/P4RPP/4R1K1 w - - 0 27,583,22,26,7,9
8/5p2/p2k1Pp1/Ppp3p1/4K1P1/1P5P/2P5/8 w - - 1 41,c2c3 d6e6 b3b4 c5b4 c3b4 e6f6 e4d5 f6e7 d5c6 f7f5 g4f5 g6f5,2433,86,83,37,crushing endgame pawnEndgame veryLong,https://lichess.org/XBx8DmM9#81,8/5p2/p2k1Pp1/Ppp3p1/4K1P1/1PP4P/8/8 b - - 0 41,-357,6,6,7,7
5rk1/6pp/4R3/3R4/4Pq2/1pP2P1P/1P1KQ1P1/r7 w - - 3 31,e2e3 a1d1 d2e2 d1e1 e2e1 f4e3,1375,75,98,868,attraction crushing deflection endgame long,https://lichess.org/QCgJE8At#61,5rk1/6pp/4R3/3R4/4Pq2/1pP1QP1P/1P1K2P1/r7 b - - 4 31,-480,25,22,10,7
r1b2r2/p1p2p1k/2p1pQ2/6p1/6N1/2B5/P1P1KPP1/7q b - - 3 24,c8a6 e2f3 h1d1 f3g3 d1d6 c3e5,2296,75,91,1813,crushing defensiveMove long middlegame,https://lichess.org/BhbE9con/black#48,r4r2/p1p2p1k/b1p1pQ2/6p1/6N1/2B5/P1P1KPP1/7q w - - 4 25,403,19,28,8,11
8/6p1/1R3k1p/p6K/r4P1P/6P1/8/8 b - - 0 38,f6f5 b6g6 a4d4 g6g7,2122,77,91,638,crushing endgame rookEndgame short,https://lichess.org/OIha1UwO/black#76,8/6p1/1R5p/p4k1K/r4P1P/6P1/8/8 w - - 1 39,268,8,8,5,5
1Q6/p4rbk/2R3p1/1P5p/3PpP1q/4P3/P4K1P/6R1 w - - 7 38,f2e2 h4h2 e2f1 h2h3 g1g2 h3e3,1939,192,33,4,crushing endgame fork long,https://lichess.org/8MuOqS3W#75,1Q6/p4rbk/2R3p1/1P5p/3PpP1q/4P3/P3K2P/6R1 b - - 8 38,-423,25,21,10,8
7r/2p5/3b1p2/5kp1/3BR3/6P1/PPP2P1r/3R1K2 w - - 4 25,d1e1 h2h1 f1g2 h8h2 g2f3 g5g4 e4g4 h1e1,1375,77,96,28828,advantage deflection endgame veryLong,https://lichess.org/1aCuz3eI#49,7r/2p5/3b1p2/5kp1/3BR3/6P1/PPP2P1r/4RK2 b - - 5 25,-351,18,16,9,7
2k4r/ppqb1Q2/1np5/8/2P2P1p/1B2N2P/PP4r1/R4RK1 w - - 0 22,g1g2 d7h3 g2h3 c7f7,1164,81,92,2123,advantage discoveredAttack middlegame short,https://lichess.org/CqbVjlBI#43,2k4r/ppqb1Q2/1np5/8/2P2P1p/1B2N2P/PP4K1/R4R2 b - - 0 22,-308,30,24,11,9
2N4b/8/1p4pp/1Pp2p2/Pk3P2/1P2Pn1P/2K5/8 b - - 2 39,b4a5 c8e7 f3e1 c2d1 a5b4 e7d5,2841,120,89,1188,advantage defensiveMove endgame long,https://lichess.org/wY7sLjya/black#78,2N4b/8/1p4pp/kPp2p2/P4P2/1P2Pn1P/2K5/8 w - - 3 40,30,9,11,8,8
1k6/pp6/4q3/3pP3/3P2pr/PQ6/6P1/2R3K1 w - - 0 28,c1c5 e6h6 b3c3 h4h1,1935,82,85,42,crushing endgame quietMove short,https://lichess.org/cH2mV0Hm#55,1k6/pp6/4q3/2RpP3/3P2pr/PQ6/6P1/6K1 b - - 1 28,-493,18,18,7,7
8/B5p1/1p2kp1p/p6P/P1P1K1P1/1P6/5b2/8 b - - 10 48,f2c5 b3b4 a5b4 a4a5 b4b3 e4d3,2229,77,80,88,bishopEndgame crushing defensiveMove endgame long,https://lichess.org/3EiEqdOi/black#96,8/B5p1/1p2kp1p/p1b4P/P1P1K1P1/1P6/8/8 w - - 11 49,42,8,8,7,7
6k1/pb3p2/6pQ/3q4/8/3Br3/PPP3PP/5R1K w - - 1 29,f1g1 d5g2 g1g2 e3e1 d3f1 e1f1,1465,78,94,19205,endgame long mate mateIn3 pin sacrifice,https://lichess.org/i87Dk8OS#57,6k1/pb3p2/6pQ/3q4/8/3Br3/PPP3PP/6RK b - - 2 29,-3,22,20,9,7
6k1/5p1p/ppB3p1/2p1bb1n/2Pp4/3P2P1/P1N2P1P/R5K1 w - - 0 31,c6e4 f5e4 d3e4 d4d3 a1b1 d3c2,1094,75,100,263,advancedPawn advantage endgame long,https://lichess.org/CiL6bUpC#61,6k1/5p1p/pp4p1/2p1bb1n/2PpB3/3P2P1/P1N2P1P/R5K1 b - - 1 31,-294,17,16,10,11
r3k1nr/p1pq1ppp/8/3Pp3/QbpnP3/5B2/P2N1PPP/R1B1K2R w KQkq - 2 12,a4b4 d4c2 e1f1 c2b4,1182,87,77,51,crushing fork opening short,https://lichess.org/1LLzVy6j#23,r3k1nr/p1pq1ppp/8/3Pp3/1QpnP3/5B2/P2N1PPP/R1B1K2R b KQkq - 0 12,-528,34,32,13,13
r1bqk2r/pppp1ppp/2n5/4p3/2BP4/2b1RN2/P4PPP/R1BQ2K1 b kq - 1 10,c3a1 f3e5 e8g8 e5f7 d8f6 e3f3,2662,85,93,1226,advantage long middlegame,https://lichess.org/btK7vrq0/black#20,r1bqk2r/pppp1ppp/2n5/4p3/2BP4/4RN2/P4PPP/b1BQ2K1 w kq - 0 11,20,28,36,11,15
2rqr1k1/pp1bppb1/2np1np1/7p/3NP2P/1BN1BP2/PPPQ2P1/2KR3R w - - 0 13,e3h6 c6d4 b3f7 g8f7,1496,76,94,4220,crushing middlegame short,https://lichess.org/q5Of8a3K#25,2rqr1k1/pp1bppb1/2np1npB/7p/3NP2P/1BN2P2/PPPQ2P1/2KR3R b - - 1 13,-417,38,38,15,15
7r/p4p2/1p2k1p1/8/2P2RKP/P3n3/8/7R w - - 0 47,g4g5 h8h5,1145,77,85,879,endgame mate mateIn1 oneMove,https://lichess.org/K83OkvjH#93,7r/p4p2/1p2k1p1/6K1/2P2R1P/P3n3/8/7R b - - 1 47,-1,13,12,6,7
8/pkp5/1p2P1Q1/2b3p1/5q2/2N5/PPPK2PP/8 w - - 3 39,d2d3 f4e3 d3c4 e3d4 c4b3 d4b4,1635,75,95,4590,endgame exposedKing long mate mateIn3,https://lichess.org/znLuJx5e#77,8/pkp5/1p2P1Q1/2b3p1/5q2/2NK4/PPP3PP/8 b - - 4 39,-3,18,16,9,7
r4k2/pb2Rpp1/q2B1n1p/1p6/8/2PB4/P1Q2PPP/6K1 b - - 6 24,b7d5 e7e8 f8e8 c2e2 f6e4 d3b5,2439,94,89,1613,attraction crushing doubleCheck long middlegame pin sacrifice,https://lichess.org/dP8ECnjH/black#48,r4k2/p3Rpp1/q2B1n1p/1p1b4/8/2PB4/P1Q2PPP/6K1 w - - 7 25,506,25,25,10,10
2k1r3/1pq4p/p3bnp1/2p3N1/8/2N5/PPP2PPb/3QR2K b - - 1 19,e6g4 e1e8 f6e8 d1g4,1277,92,41,43,advantage middlegame short,https://lichess.org/RzjqT0SO/black#38,2k1r3/1pq4p/p4np1/2p3N1/6b1/2N5/PPP2PPb/3QR2K w - - 2 20,422,25,28,10,11
r4r1k/6pp/8/8/1p2Q3/P2PB3/1Pq2PPP/RN4K1 w - - 0 22,e4b4 c2d1 b4e1 d1e1,1058,76,97,3788,mate mateIn2 middlegame short,https://lichess.org/mcDDxWde#43,r4r1k/6pp/8/8/1Q6/P2PB3/1Pq2PPP/RN4K1 b - - 0 22,-2,26,21,11,6
r4k2/1p1b1pp1/p1n5/6N1/7P/1B6/PP3P2/4R1K1 b - - 0 24,f7f6 g5h7,873,80,97,678,endgame mate mateIn1 oneMove,https://lichess.org/RkrdMCzM/black#48,r4k2/1p1b2p1/p1n2p2/6N1/7P/1B6/PP3P2/4R1K1 w - - 0 25,1,15,15,8,8
